2 to 4,78.3,0.5,1.8,4.1,7.9,8.4,9.9,5.2,4.7,9.2,5.1,2.2,6.7,8.8,2.0,1.8,10.9,.,.,.,.,0.8,.,0.5,.,0.9,0.4,0.4,0.8,5.3,1.2,0.5,8.1,.,.,0.4,.,.,1.2,0.4,0.8,0.3,1.3,0.9,1.4,1.3,.,.,12.6,.,.,0.4,0.4,.,.,.,2.2,4.3,0.9,.,1.9,0.9,0.7,0.8,8.7,.,.,0.4,0.4,0.4,1.3,2.7,0.4,0.8,0.8,0.5,0.9,.,.,.,8.3,.,.,0.4,.,1.0,3.9,1.2,.,0.5,0.9,.,.,.,.,0.4,5.6,.,0.4,.,.,2.4,1.2,.,.,.,0.4,0.4,0.4,0.4,.,.,8.1,.,.,0.7,3.2,0.4,1.9,0.4,0.9,0.7,.,.,.,.,.,.,6.3,.,.,0.9,1.5,1.2,0.4,.,0.4,1.1,0.4,.,.,0.4,.,.,3.9,.,.,0.4,1.3,0.4,.,.,.,0.4,.,.,0.9,0.4,.,.,5.7,0.5,1.3,0.4,1.1,1.9,.,.,.,.,.,.,0.4,.,.,.
5 to 9,76.1,1.3,0.8,5.6,8.3,9.2,7.4,8.9,5.3,8.7,3.4,2.0,6.7,6.5,1.3,0.9,7.4,.,.,.,.,.,.,1.2,.,.,0.7,.,1.2,3.1,0.9,0.4,11.0,.,.,.,.,.,0.4,0.4,.,1.3,.,2.0,4.3,2.2,0.4,.,9.1,.,.,.,0.4,0.4,0.4,0.8,1.6,3.3,1.4,.,0.4,0.4,.,.,12.2,0.4,.,.,0.8,1.9,2.2,1.6,1.7,2.3,0.4,.,.,0.8,.,.,8.4,.,.,.,0.9,2.6,0.8,1.6,0.4,0.8,0.8,.,0.4,.,.,.,5.2,.,.,.,0.4,1.4,0.9,2.4,.,.,.,.,.,.,.,.,6.5,.,0.4,.,2.4,1.2,1.2,0.5,.,0.4,.,.,.,.,.,0.4,6.8,.,.,2.5,1.3,1.3,1.3,.,.,.,.,.,0.4,.,.,.,4.5,.,.,1.1,0.8,0.4,.,0.4,1.2,0.5,.,.,.,.,.,.,4.9,0.9,0.4,2.0,1.2,.,.,.,0.4,.,.,.,.,.,.,.
10 to 19,74.3,.,2.1,7.3,6.3,7.7,7.3,6.7,6.9,6.2,4.2,4.3,5.2,5.7,2.0,2.1,6.5,.,.,.,.,0.5,.,.,.,.,.,.,0.4,3.2,2.0,0.4,10.7,.,.,.,.,0.9,.,.,.,0.8,0.9,1.9,4.0,1.8,.,0.4,11.1,.,.,.,.,.,.,1.3,2.2,2.6,2.6,2.1,.,0.4,.,.,14.0,.,.,.,0.9,0.4,4.0,2.5,3.9,1.5,.,.,.,0.4,.,0.4,5.0,.,.,.,.,0.4,1.7,0.8,0.4,0.8,0.4,0.4,.,.,.,.,5.9,.,.,.,0.5,3.0,0.4,1.1,.,0.4,.,.,.,.,.,0.4,5.6,.,.,.,2.2,1.6,.,0.6,.,.,0.4,.,0.8,.,.,.,4.1,.,0.8,.,1.3,0.4,1.2,0.4,.,.,.,.,.,.,.,.,5.1,.,.,3.1,1.6,.,.,.,0.4,.,.,.,.,.,.,.,6.3,.,1.3,4.2,.,0.4,.,.,.,.,.,.,.,.,.,0.4
20 to 49,67.6,1.2,1.3,6.0,6.0,8.9,7.6,6.0,3.4,7.2,5.1,2.3,3.9,6.7,1.7,0.4,9.3,.,.,.,.,0.6,0.4,0.4,0.4,.,1.2,.,0.4,4.5,1.3,.,8.9,.,.,.,0.9,.,2.0,0.4,.,1.3,2.1,.,1.3,0.9,.,.,6.3,.,.,0.8,.,0.4,.,.,0.9,1.9,0.5,0.5,0.8,0.4,.,.,8.8,.,.,.,0.4,.,0.9,3.2,1.6,0.9,.,0.9,0.4,0.4,.,.,10.3,.,.,.,.,2.2,2.2,1.6,0.4,0.9,0.8,0.4,0.5,0.4,0.4,0.4,6.1,.,.,0.4,0.4,2.6,0.8,0.4,.,0.9,.,0.5,.,.,.,.,6.4,0.4,.,0.4,2.1,1.8,0.8,.,.,0.5,.,.,0.5,.,.,.,5.6,.,0.4,1.3,1.4,0.8,0.4,.,.,0.8,0.4,.,.,.,.,.,2.1,.,.,1.3,0.4,0.4,.,.,.,.,.,.,.,.,.,.,3.8,0.8,0.9,1.7,0.4,.,.,.,.,.,.,.,.,.,.,.
50 or more,64.6,0.5,1.2,3.4,5.9,5.6,11.0,5.9,2.9,4.8,4.0,2.1,7.4,7.6,2.3,.,11.6,.,.,.,.,.,2.5,2.1,0.4,.,.,.,0.8,3.9,1.9,.,13.2,.,.,0.5,.,0.8,3.3,0.8,.,0.8,1.5,0.9,2.8,1.3,0.4,.,7.8,.,.,.,0.8,.,0.4,.,0.9,0.9,1.2,.,1.2,2.5,.,.,6.9,.,.,.,.,0.7,1.5,3.0,0.4,0.4,0.4,.,0.4,.,.,.,3.0,.,.,0.4,.,0.5,.,.,0.4,1.3,.,.,0.4,.,.,.,4.3,.,.,.,0.4,0.4,1.4,.,0.4,0.5,0.4,.,0.8,.,.,.,7.0,.,.,0.5,2.5,0.5,1.5,.,0.4,.,.,1.2,0.4,.,.,.,3.0,.,0.4,0.4,0.9,0.8,.,.,.,0.5,.,.,.,.,.,.,3.1,.,.,0.9,0.5,0.9,0.4,.,.,.,.,.,0.5,.,.,.,4.8,0.5,0.8,0.8,0.8,0.9,.,.,.,0.4,0.4,.,.,.,.,.
Manufactured/mobile home or trailer,4.1,.,.,0.5,.,.,.,.,0.8,.,0.8,0.6,.,0.7,.,0.8,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,1.5,.,.,.,.,.,.,.,0.8,.,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cooperatives and Condominiums, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cooperatives,1.3,.,.,.,.,0.5,.,.,.,.,.,.,.,0.8,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,.,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Condominiums,58.6,1.7,2.0,3.8,6.9,6.6,6.0,2.7,3.7,7.5,2.8,1.3,3.9,6.3,1.6,1.7,6.8,.,.,.,.,0.4,0.4,.,.,.,.,.,1.2,3.2,1.6,.,6.5,.,.,.,.,.,1.7,.,.,0.9,0.4,0.4,0.8,2.3,.,.,7.2,.,.,.,.,0.4,.,.,.,2.0,0.8,0.4,1.9,0.9,.,0.8,6.8,0.4,.,.,0.4,.,.,2.0,1.2,2.0,0.4,0.4,.,.,.,.,5.0,.,.,0.4,.,1.2,0.8,0.4,0.4,1.8,.,.,.,.,.,.,3.8,.,.,.,0.4,1.8,.,0.4,.,.,0.8,.,.,.,.,0.4,8.2,0.4,0.4,.,3.6,.,1.4,.,1.3,0.4,0.4,.,.,.,.,0.4,5.9,.,0.4,1.0,0.4,2.0,1.7,.,.,0.4,.,.,.,.,.,.,3.4,.,.,0.9,1.3,0.8,.,.,0.4,.,.,.,.,.,.,.,4.9,0.9,1.2,1.6,0.8,.,.,.,0.4,.,.,.,.,.,.,.
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"Year Structure Built1,2", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2010 to 2013,12.3,.,.,0.8,1.6,2.2,1.2,1.8,0.6,1.1,0.8,0.4,0.4,0.8,.,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,1.5,.,.,.,.,0.4,.,0.7,.,.,.,.,.,0.4,.,.,0.9,.,.,0.4,.,.,.,.,.,.,.,.,0.4,.,.,.,2.0,.,.,.,.,.,.,0.4,.,0.7,0.8,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,1.8,.,.,.,.,.,0.4,0.7,0.2,.,.,.,.,.,.,0.4,2.0,.,.,0.4,0.4,.,0.4,.,0.4,.,.,0.4,.,.,.,.,1.1,.,.,.,0.7,0.4,.,.,.,.,.,.,.,.,.,.,0.8,.,.,.,0.4,.,0.4,.,.,.,.,.,.,.,.,.,1.4,.,.,.,.,1.4,.,.,.,.,.,.,.,.,.,.
2005 to 2009,22.9,0.4,0.8,0.4,0.8,2.7,3.1,2.6,2.9,2.8,1.6,0.4,2.0,1.5,0.8,.,0.9,.,.,.,.,.,.,.,0.4,.,.,.,.,.,0.4,.,2.0,.,.,.,.,.,0.8,.,.,.,0.4,.,0.8,.,.,.,2.3,.,.,.,.,.,0.4,.,0.4,.,.,.,.,1.5,.,.,3.1,.,.,.,.,.,.,1.5,.,0.7,0.4,0.4,.,.,.,.,1.7,.,.,.,.,0.4,.,0.4,0.4,0.5,.,.,.,.,.,.,2.5,.,.,.,.,.,0.5,.,0.7,0.5,0.8,.,.,.,.,.,3.3,.,0.4,.,0.4,0.4,0.8,.,0.4,0.4,.,.,0.4,.,.,.,2.2,.,.,.,.,.,.,0.7,.,0.7,.,.,0.7,.,.,.,1.3,.,.,.,.,0.9,0.5,.,.,.,.,.,.,.,.,.,3.5,0.4,0.4,0.4,0.4,0.9,.,.,0.5,.,.,.,.,.,0.4,.
2000 to 2004,39.3,.,1.2,1.8,6.8,4.9,5.5,2.8,2.8,3.0,0.4,2.3,2.0,4.5,0.9,0.4,2.9,.,.,.,.,.,.,.,.,.,.,.,.,2.4,0.5,.,3.5,.,.,.,.,.,.,.,.,1.3,.,0.4,0.4,1.3,.,.,2.9,.,.,.,.,.,.,0.4,.,0.4,0.4,0.9,0.7,.,.,.,2.0,.,.,.,0.4,.,.,.,1.2,0.4,.,.,.,.,.,.,1.5,.,.,.,.,.,0.4,.,.,0.4,.,.,.,0.7,.,.,2.7,.,.,.,.,1.6,0.6,.,.,.,.,0.5,.,.,.,.,8.2,.,.,.,1.9,0.9,3.4,1.1,.,0.4,.,0.4,.,.,.,.,5.7,.,0.4,0.4,1.3,1.2,0.8,0.8,0.4,.,.,.,0.4,.,.,.,4.4,.,.,0.8,0.8,0.8,0.3,.,1.2,.,.,.,0.5,.,.,.,5.5,.,0.8,0.6,2.4,0.4,.,0.4,.,.,.,.,.,.,0.4,0.4
1995 to 1999,39.1,0.9,.,3.6,3.9,3.6,2.9,0.6,3.9,2.9,3.8,0.5,4.6,4.2,2.0,1.7,7.1,.,.,.,.,.,.,.,.,.,0.4,.,0.4,3.8,2.0,0.4,3.7,.,.,.,.,.,.,0.4,.,0.3,.,.,2.9,.,.,.,3.7,.,.,.,0.4,.,.,.,1.1,0.4,0.4,0.5,0.4,.,.,0.4,3.7,.,.,.,.,.,0.4,.,0.8,1.2,1.3,.,.,.,.,.,2.4,.,.,.,0.4,.,0.4,.,0.4,0.4,0.4,.,.,.,.,0.4,3.3,.,.,.,.,0.9,0.4,.,0.7,.,.,.,0.4,0.4,.,0.4,4.6,.,.,0.5,0.7,0.8,1.3,0.2,0.4,.,0.4,.,0.4,.,.,.,1.9,.,.,0.4,0.2,.,0.4,.,.,0.5,0.4,.,.,.,.,.,3.1,.,.,1.1,1.5,.,.,.,0.4,.,.,.,.,.,.,.,5.6,0.9,.,1.6,0.7,1.9,.,.,.,.,0.4,.,.,.,.,.
1990 to 1994,43.2,.,1.3,5.3,4.5,4.8,7.0,2.9,1.3,3.6,3.4,1.3,2.1,4.6,0.9,0.2,2.8,.,.,.,.,.,.,.,.,.,.,.,0.8,1.6,0.5,.,4.4,.,.,.,.,.,0.7,.,.,0.4,.,0.4,0.4,1.8,0.4,0.2,6.4,.,.,0.4,.,0.4,0.5,.,.,1.2,2.2,0.4,0.4,0.8,.,.,2.1,.,.,.,.,0.4,0.4,0.9,.,0.4,.,.,.,.,.,.,8.1,.,.,.,.,1.5,2.6,1.6,0.4,0.8,0.8,.,.,0.4,.,.,2.6,.,.,.,.,0.5,0.9,0.4,.,0.4,0.4,.,.,.,.,.,4.4,.,.,.,1.2,0.5,1.5,.,0.8,.,.,0.4,.,.,.,.,3.7,.,.,0.8,1.3,1.1,0.4,.,.,.,.,.,.,.,.,.,2.1,.,0.4,0.8,0.5,0.4,.,.,.,.,.,.,.,.,.,.,6.6,.,0.9,3.3,1.5,.,.,.,.,0.4,.,.,0.4,.,.,.
