"$10,000 to $14,999",11.7,.,.,.,1.1,0.8,.,0.4,.,0.9,2.0,0.4,2.6,3.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.7,.,.,.,1.1,0.8,.,0.4,.,0.9,2.0,0.4,2.6,3.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$15,000 to $19,999",18.7,0.4,.,.,0.4,.,2.0,1.9,2.4,3.3,3.2,0.8,1.8,2.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.7,0.4,.,.,0.4,.,2.0,1.9,2.4,3.3,3.2,0.8,1.8,2.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$20,000 to $24,999",19.6,.,.,1.2,2.3,1.2,2.2,2.2,0.8,5.9,0.5,0.7,1.2,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.6,.,.,1.2,2.3,1.2,2.2,2.2,0.8,5.9,0.5,0.7,1.2,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$25,000 to $29,999",27.7,.,.,0.4,2.0,3.3,2.6,2.3,1.1,3.3,5.7,1.7,2.6,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27.7,.,.,0.4,2.0,3.3,2.6,2.3,1.1,3.3,5.7,1.7,2.6,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$30,000 to $34,999",22.5,.,.,2.9,5.5,3.2,2.5,0.4,0.4,1.8,2.2,1.5,1.6,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.5,.,.,2.9,5.5,3.2,2.5,0.4,0.4,1.8,2.2,1.5,1.6,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$35,000 to $39,999",22.8,.,.,4.7,1.6,1.2,1.2,1.5,1.7,3.5,5.2,0.8,0.8,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.8,.,.,4.7,1.6,1.2,1.2,1.5,1.7,3.5,5.2,0.8,0.8,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$40,000 to $49,999",51.3,.,.,5.5,5.9,4.8,5.3,6.0,3.0,11.0,4.6,3.1,1.7,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51.3,.,.,5.5,5.9,4.8,5.3,6.0,3.0,11.0,4.6,3.1,1.7,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$50,000 to $59,999",39.3,.,0.4,7.1,4.2,4.6,5.3,5.8,4.8,4.9,1.4,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39.3,.,0.4,7.1,4.2,4.6,5.3,5.8,4.8,4.9,1.4,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$60,000 to $79,999",92.9,.,8.2,13.5,10.6,16.4,16.3,12.8,6.7,5.6,.,2.0,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.9,.,8.2,13.5,10.6,16.4,16.3,12.8,6.7,5.6,.,2.0,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$80,000 to $99,999",106.3,1.5,10.4,13.8,18.7,23.2,18.7,10.2,3.3,5.3,0.4,.,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,106.3,1.5,10.4,13.8,18.7,23.2,18.7,10.2,3.3,5.3,0.4,.,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$100,000 to $119,999",70.9,0.5,10.6,5.2,17.0,16.5,9.9,5.7,2.5,1.7,0.8,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70.9,0.5,10.6,5.2,17.0,16.5,9.9,5.7,2.5,1.7,0.8,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$120,000 or more",260.6,20.5,45.9,55.5,61.4,38.4,19.9,9.0,2.1,4.6,1.2,0.8,0.8,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,260.6,20.5,45.9,55.5,61.4,38.4,19.9,9.0,2.1,4.6,1.2,0.8,0.8,0.4,.
Median (dollars),"88,326.0","218,000.0","133,357.0","120,300.0","113,000.0","97,600.0","85,000.0","73,800.0","57,000.0","45,400.0","35,000.0","40,000.0","25,647.0","7,000.0", ,"1,200.0",.,.,.,"6,756.0",.,.,"5,000.0","8,000.0",.,.,.,"3,600.0","3,000.0", ,"15,500.0","15,000.0",.,.,"14,484.0","11,864.0","19,200.0","18,000.0","18,000.0","16,236.0","16,008.0","18,000.0","13,260.0","14,000.0",.,"25,000.0",.,.,"21,423.0","24,660.0","27,307.0","25,000.0","25,000.0","25,796.0","24,100.0","26,500.0","27,002.0","25,000.0","25,000.0",.,"35,000.0",.,.,"37,000.0","32,400.0","33,000.0","31,344.0","37,860.0","37,001.0","36,200.0","35,600.0","34,714.0","33,315.0","30,010.0",.,"44,560.0",.,.,"46,824.0","45,153.0","46,954.0","45,000.0","46,000.0","44,560.0","44,216.0","42,000.0","43,200.0","42,000.0","40,500.0",.,"53,000.0",.,"55,000.0","52,250.0","53,500.0","53,000.0","54,000.0","52,230.0","53,000.0","54,000.0","50,500.0","56,000.0",.,.,.,"69,200.0",.,"70,000.0","68,800.0","70,000.0","68,000.0","70,000.0","70,000.0","64,712.0","66,000.0",.,"69,200.0","64,100.0","60,000.0",.,"88,200.0","90,000.0","90,000.0","88,326.0","90,000.0","88,000.0","90,000.0","87,000.0","83,000.0","87,000.0","95,025.0",.,"96,000.0","98,000.0",.,"107,250.0","105,065.0","109,500.0","106,500.0","109,000.0","108,044.0","104,200.0","107,000.0","105,708.0","113,000.0","105,000.0",.,"119,752.0",.,"169,000.0","235,000.0","195,000.0","197,000.0","167,000.0","150,730.0","136,550.0","150,044.0","149,600.0","129,920.0","145,386.0","200,000.0","121,000.0","173,000.0",.
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  As percent of poverty level1:, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Less than 50 percent,20.1,.,.,.,.,.,.,0.4,.,.,.,.,0.5,11.6,7.5,20.1,.,.,.,.,.,.,0.4,.,.,.,.,0.5,11.6,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
50 to 99 percent,14.4,.,.,.,0.8,.,0.4,0.4,0.8,0.8,2.3,0.7,2.6,5.6,.,3.3,.,.,.,0.8,.,.,.,0.4,.,.,.,0.4,1.7,.,9.6,.,.,.,.,.,.,0.4,0.4,0.4,2.3,.,2.2,3.8,.,1.6,.,.,.,.,.,0.4,.,.,0.4,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100 to 149 percent,34.7,0.4,.,1.9,1.1,1.9,0.8,2.5,1.2,7.5,5.9,3.0,4.9,3.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.9,0.4,.,.,1.1,0.8,0.4,0.9,0.8,1.9,1.9,0.8,1.9,2.0,.,9.1,.,.,0.4,.,.,.,.,.,2.5,2.3,0.6,2.2,1.1,.,6.6,.,.,0.7,.,0.4,0.4,0.8,.,0.6,1.6,0.7,0.8,0.4,.,3.8,.,.,0.7,.,.,.,.,.,2.1,0.1,0.8,.,.,.,1.7,.,.,.,.,.,.,0.8,0.4,0.5,.,.,.,.,.,0.7,.,.,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
150 to 199 percent,41.0,.,.,2.1,3.9,2.1,4.4,4.9,3.5,7.9,6.8,0.8,1.5,3.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.9,.,.,.,0.4,.,1.6,0.9,1.2,1.9,1.1,0.4,0.4,.,.,21.5,.,.,0.8,3.1,1.7,1.6,2.6,1.0,4.9,2.6,.,0.7,2.6,.,5.7,.,.,.,0.4,.,0.8,.,0.4,.,2.8,0.4,0.4,0.4,.,1.2,.,.,.,.,.,.,0.4,.,0.4,0.4,.,.,.,.,2.6,.,.,1.3,.,.,.,0.9,0.4,.,.,.,.,.,.,1.7,.,.,.,.,0.4,.,0.1,0.4,0.7,.,.,.,.,.,0.4,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
200 percent or more,657.3,22.5,75.6,105.9,125.7,109.6,80.2,50.2,23.7,35.3,12.3,8.2,6.0,2.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.2,.,.,0.4,1.2,2.9,2.8,1.9,0.9,1.4,1.4,1.1,0.9,0.4,.,33.1,.,.,6.9,6.7,4.0,2.5,1.2,1.6,4.7,3.0,1.3,1.2,.,.,46.2,.,.,4.7,5.9,4.8,5.3,5.6,3.0,8.5,4.1,2.3,1.7,0.4,.,35.0,.,0.4,5.8,4.2,4.6,5.3,4.1,4.0,4.4,1.4,0.8,.,.,.,90.5,.,8.2,13.5,10.6,15.3,16.3,12.7,6.2,4.9,.,2.0,0.4,0.4,.,105.9,1.5,10.4,13.8,18.7,23.2,18.3,10.2,3.3,5.3,0.4,.,0.4,0.4,.,70.9,0.5,10.6,5.2,17.0,16.5,9.9,5.7,2.5,1.7,0.8,.,0.5,.,260.6,20.5,45.9,55.5,61.4,38.4,19.9,9.0,2.1,4.6,1.2,0.8,0.8,0.4,.
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Income of Families and Primary Individuals, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
